pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Space,Kepler,0,416,2,-2,0,,,,,603.877,31.783,-31.783,0,1.9,0.1,-0.1,0,,,,,,,,,,0.48,0.03,-0.03,0,,,,,396.332,6.3885,-6.3885,12.1376,0.003687,-0.003687
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,Ground,W. M. Keck Observatory,0,7336.5,1934.5,-584,0,0.92,0.39,-0.36,0,6657.48,26629.91,-6657.48,0,20.95,83.79,-20.95,0,2075,70,-70,0,M8.5,2300,80,-80,0,0.08,0.06,-0.06,0,,,,,,,,17.3961,0.004861,-0.004861
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,0,4.231,,,0,,,,,146.2018,19.0698,-3.1783,0,0.46,0.06,-0.01,0,,,,,,,,,,1.04,,,0,,,,,15.4614,0.0297,-0.0297,5.28647,0.002768,-0.002768
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.6,,,0,,,,,254.25,,,0,0.8,,,0,700,,,0,K0 IV-V,,,,,,,,,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.465314,0.0009,-0.00095,0,,,,,266.966,41.634,-9.852,0,0.84,0.131,-0.031,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,0,14.65152,0.00015,-0.00015,0,,,,,263.9785,1.0488,-1.0488,0,0.8306,0.0033,-0.0033,0,,,,,,,,,,0.95,,,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,44.4175,0.0073,-0.0073,0,,,,,54.4738,1.748,-1.748,0,0.1714,0.0055,-0.0055,0,,,,,,,,,,0.95,,,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,44.373,0.02,-0.018,0,,,,,56.6985,8.74,-2.479,0,0.1784,0.0275,-0.0078,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,0,4825,39,-39,0,,,,,1232.493,21.612,-21.612,0,3.878,0.068,-0.068,0,,,,,,,,,,0.95,,,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,0,4867,25,-26,0,,,,,1226.77,190.69,-47.67,0,3.86,0.6,-0.15,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.737,,,0,0.169,0.004,-0.004,0,7.74,0.37,-0.3,0,0.02435,0.00116,-0.00094,0,,,,,,5172,18,-18,0,0.87,0.05,-0.04,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.7365515,0.0000015,-0.0000015,0,,,,,8.13928,0.23201,-0.23201,0,0.02561,0.00073,-0.00073,0,,,,,,,,,,0.95,,,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.7365478,0.0000016,-0.0000012,0,,,,,8.09479,0.26061,-0.25743,0,0.02547,0.00082,-0.00081,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.73654,0.000003,-0.000003,0,0.178,0.012,-0.012,0,8.63,0.35,-0.35,0,0.027,0.001,-0.001,0,,,,,G8 V,,,,,0.96,0.05,-0.03,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.7365437,0.0000052,-0.0000052,0,0.186,0.014,-0.015,0,7.81,0.58,-0.53,0,0.02457,0.00182,-0.00167,0,1958,15,-15,0,,5234,30,-30,0,0.91,0.01,-0.01,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.736546,0.000003,-0.000003,0,0.194,0.009,-0.009,0,8.37,0.38,-0.38,0,0.026,0.001,-0.001,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.7365474,0.0000013,-0.0000014,0,0.167,0.003,-0.003,0,7.99,0.32,-0.33,0,0.02514,0.00101,-0.00104,0,,,,,,5172,18,-18,0,0.91,0.01,-0.01,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0,0.736539,0.000007,-0.000007,0,0.17,0.007,-0.007,0,8.08,0.31,-0.31,0,0.02542,0.00098,-0.00098,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,0,262,0.51,-0.51,0,,,,,44.812,3.814,-3.814,0,0.141,0.012,-0.012,0,,,,,,,,,,0.95,,,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,0,260.91,0.36,-0.36,0,,,,,47.0051,6.9602,-2.9557,0,0.1479,0.0219,-0.0093,0,,,,,,5250,123.3,-171.85,0,0.9,0.14,-0.09,0,,,,,12.5855,0.0124,-0.0123,5.72973,0.0008523,-0.0008523
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Ground,Lick Observatory,0,116.6884,0.0044,-0.0044,0,,,,,2380.45,193.87,-193.87,0,7.49,0.61,-0.61,0,,,,,,5545,,,0,1.11,,,0,8,2,-2,0,17.9011,0.056,-0.0557,4.76178,0.0044158,-0.0044158
BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,0,41.6855,0.003,-0.0031,0,0.199,0.012,-0.01,0,16.3,6,-6.1,0,0.05129,0.01888,-0.01919,0,546,19,-18,0,G,5766,99,-99,0,0.96,0.03,-0.03,0,3.34,1.95,-1.49,0,179.461,1.257,-1.24,10.8644,0.000249,-0.000249
BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,0,41.6855,0.003,-0.003,0,0.23,0.01,-0.01,0,22.2481,9.5349,-9.5349,0,0.07,0.03,-0.03,0,,,,,,5766,99,-99,0,1.67,0.4,-0.4,0,,,,,179.461,1.257,-1.24,10.8644,0.000249,-0.000249
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,Ground,W. M. Keck Observatory,0,10037.5,2737.5,-2737.5,0,,,,,3337.1,1430.2,-1430.2,0,10.5,4.5,-4.5,0,370,40,-40,0,,580.5,24.5,-24.5,0,0.02,0.01,-0.01,0,,,,,,,,,,
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Ground,Multiple Observatories,0,8.9891,0.0202,-0.0202,0,,,,,3686.828,921.707,-858.141,0,11.6,2.9,-2.7,0,,,,,K7,,,,,0.9,0.02,-0.02,0,0.003,0.001,-0.001,0,157.998,1.198,-1.18,12.1454,0.011866,-0.011866
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.5089557,,,0,1.48,0.06,-0.06,0,359.1479,22.2481,-22.2481,0,1.13,0.07,-0.07,0,,,,,,5950,50,-50,0,1.03,0.06,-0.06,0,,,,,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.5089682,0.0000005,-0.0000005,0,1.715,0.03,-0.03,0,390.9309,31.783,-31.783,0,1.23,0.1,-0.1,0,,,,,,6298,66,-66,0,1.22,0.03,-0.03,0,1.6,0.5,-0.5,0,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.5089557,0.0000064,-0.0000064,0,1.49,0.08,-0.08,0,327.35,38.14,-38.14,0,1.03,0.12,-0.12,0,1898,50,-50,0,G0 V,5950,150,-150,0,0.95,0.15,-0.15,0,,,,,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.50897655,0.0000001,-0.0000001,0,1.42,0.24,-0.24,0,340.0781,54.0311,-54.0311,0,1.07,0.17,-0.17,0,1834,46,-46,0,,5950,,,0,,,,,,,,,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,Space,CoRoT,0,1.5089686,0.0000006,-0.0000006,0,1.551,0.065,-0.065,0,327.3649,31.783,-31.783,0,1.03,0.1,-0.1,0,1915,49,-49,0,,5950,150,-150,0,0.95,0.11,-0.11,0,7.8,4.1,-3.9,0,787.909,23.491,-23.491,13.457,0.000477,-0.000477
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.2406,0.0002,-0.0002,0,0.97,0.07,-0.07,0,867.6759,44.4962,-44.4962,0,2.73,0.14,-0.14,0,,,,,,5075,75,-75,0,0.89,0.05,-0.05,0,3,0,-3,0,338.386,3.9865,-3.9865,14.6645,0.000329,-0.000329
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.2406,0.0002,-0.0002,0,0.941,0.085,-0.085,0,883.5674,47.6745,-47.6745,0,2.78,0.15,-0.15,0,647,24,-24,0,,5075,75,-75,0,0.9,0.04,-0.04,0,0.1,2,-0.2,0,338.386,3.9865,-3.9865,14.6645,0.000329,-0.000329
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,Space,CoRoT,0,13.2406,0.0002,-0.0002,0,0.97,0.07,-0.07,0,874,50.85,-50.85,0,2.75,0.16,-0.16,0,600,23,-23,0,K1 V,5075,75,-75,0,0.89,0.05,-0.05,0,3,,,1,338.386,3.9865,-3.9865,14.6645,0.000329,-0.000329
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.994325,0.000021,-0.000021,0,1.43,0.03,-0.03,0,832.7146,187.5197,-197.0546,0,2.62,0.59,-0.62,0,,,,,,6440,120,-120,0,1.27,0.05,-0.05,0,2,1,-1,0,655.037,24.947,-23.209,12.841,0.000336,-0.000336
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99433,0.000011,-0.000011,0,1.43,0.03,-0.03,0,740.51,108.06,-108.06,0,2.33,0.34,-0.34,0,1657,55,-55,0,F6 V,6440,120,-120,0,1.27,0.05,-0.05,0,2,1,-1,0,655.037,24.947,-23.209,12.841,0.000336,-0.000336
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.99433,0.000011,-0.000011,0,1.426,0.058,-0.058,0,743.7222,123.9537,-123.9537,0,2.34,0.39,-0.39,0,1735,34,-34,0,,6440,120,-120,0,1.26,0.14,-0.14,0,2,0.9,-2.1,0,655.037,24.947,-23.209,12.841,0.000336,-0.000336
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,Space,CoRoT,0,2.994325,0.000021,-0.000021,0,1.39,0.033,-0.033,0,791.3967,85.8141,-85.8141,0,2.49,0.27,-0.27,0,1715,36,-36,0,,,,,,1.23,0.03,-0.03,0,2,1,-1,0,655.037,24.947,-23.209,12.841,0.000336,-0.000336
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,Space,CoRoT,0,2.828042,0.000013,-0.000013,0,1.44,0.13,-0.13,0,291.438,22.247,-20.658,0,0.917,0.07,-0.065,0,1442,58,-58,0,,5675,80,-80,0,1.08,0.08,-0.07,0,6.3,3.1,-3.1,0,1126.37,55.745,-55.745,15.3453,0.00077,-0.00077
